# meta={"format": "probe_hits_cells", "version": "1.0", "exported_at": "2026-01-12T23:48:34", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [-50.0, 10, -50.0], "u_vec": [1.0, 0.0, 0.0], "v_vec": [0.0, 0.0, 1.0], "du": 1.0, "dv": 1.0, "nu": 100, "nv": 100}, "summary": {"unique_hit_cells": 6426, "total_hits": 167976}, "context": {"charge_kg_tnt": 500, "n_rays_horizontal": 200000, "min_cos_to_normal": 0.08, "hemisphere": "+Y (horizontal plane focus)", "note": "only upward hemisphere rays; grazing filtered with dot(y)>=threshold", "house_centers": [[-20, -20], [-20, 0], [-20, 20], [20, -20], [20, 0], [20, 20]], "house_size": 10.0}, "aggregation": {"Pmax_inc_kPa": "max over incident_peak_pressure_kpa within cell", "t_first_ms": "min over arrive_time_ms within cell", "hits": "count of hits within cell"}}
# columns=i,j,hits,Pmax_inc_kPa,t_first_ms
i,j,hits,Pmax_inc_kPa,t_first_ms
40,46,145,393.39524410184424,10.31667364161484
45,59,109,379.5822511915679,10.618696490035205
40,54,137,379.129779027473,10.628928025827282
45,40,114,378.906759428487,10.633979237635389
59,45,136,378.6838082660724,10.639034308204144
40,45,138,377.9163230845689,10.656477315595763
54,40,112,377.69378973151277,10.661546996052754
59,54,140,377.4712063791768,10.66662325415968
54,59,113,377.02007904718647,10.676928430066251
57,42,120,376.3040797194922,10.693330255426122
57,57,120,376.08195940259907,10.698430042464127
42,57,115,374.4248782367134,10.736649554195015
42,42,116,374.2035242711394,10.741778249205009
60,49,140,373.8713468120512,10.749485050823465
56,41,108,373.85294722419377,10.74991230115135
39,49,142,373.76700201686003,10.751908511235053
50,60,107,373.6500519132017,10.754626199583036
50,39,106,373.54573712306103,10.757051574416284
39,50,144,373.42894476204197,10.759768521998405
60,50,144,373.3244845532691,10.762199896034168
49,39,105,373.2078498099121,10.764916102591936
49,60,104,373.1034782648331,10.767348031697884
43,41,106,372.9008739263726,10.772072387756571
58,43,126,372.6799937751169,10.777228225410356
43,58,106,371.98089417938957,10.793583484926902
60,48,144,371.7663170414657,10.798614685247486
41,43,128,371.7602137861087,10.798757865838978
51,60,106,371.5458191985354,10.803790215583648
39,51,142,371.3253348211635,10.808971020536985
39,48,142,371.2457325836568,10.810842839815598
48,39,107,371.1048641561706,10.814157102664135
56,58,110,371.03153159010793,10.815883330762697
51,39,106,371.02544563171057,10.816026620417595
41,56,127,370.8113111111584,10.821070992384302
60,51,142,370.2607417688337,10.834065132768925
48,60,107,370.04083088588334,10.839265140990468
58,56,128,369.89409691353944,10.84273793805347
60,52,139,364.0495339535325,10.983131998476264
47,60,104,363.83174489755896,10.988442845442473
39,47,137,363.61386152439195,10.993761784275122
52,60,107,363.45051577999016,10.9977531634958
39,52,137,363.2329604404604,11.003074234670635
47,39,105,363.0152552123435,11.008404780610386
52,39,109,362.85813405770296,11.012255531931704
60,47,139,362.79768138630317,11.01373792446276
59,55,125,360.08473546081393,11.080729543471092
44,59,102,359.86818500709995,11.086116490264228
59,44,129,359.4053008881726,11.097651082418714
55,59,101,359.1891167251704,11.103047434544822
40,55,131,358.9728432574418,11.108451933807881
